,snippet_id,pid,situation,code,object,rank
51,P11_C_342_836_2099_921,P11,Copyshop,nontechnical / non-technological,tissue,6
52,P11_C_342_836_2099_921,P11,Copyshop,wipe,tissue,6
53,P12_C_287_488_1409_563,P12,Copyshop,place on,phone,2
54,P12_C_287_488_1409_563,P12,Copyshop,small / handy,phone,2
55,P12_C_278_589_2221_677,P12,Copyshop,insert,key,4
56,P12_C_278_589_2221_677,P12,Copyshop,extra steps,key,4
57,P12_C_278_589_2221_677,P12,Copyshop,at hand,key,4
58,P12_C_278_589_2221_677,P12,Copyshop,small / handy,key,4
59,P12_C_278_695_1366_791,P12,Copyshop,at hand,card,1
60,P12_C_278_695_1366_791,P12,Copyshop,place on,card,1
61,P12_C_278_695_1366_791,P12,Copyshop,insert,card,1
62,P12_C_278_695_1366_791,P12,Copyshop,small / handy,card,1
63,P12_C_278_695_1366_791,P12,Copyshop,additional device needed,card,1
64,P12_C_278_798_1662_892,P12,Copyshop,hold to,watch,3
65,P12_C_278_798_1662_892,P12,Copyshop,not at hand\rarely / never at hand,watch,3
66,P12_C_276_915_1669_1010,P12,Copyshop,extra steps,pen,5
67,P12_C_276_915_1669_1010,P12,Copyshop,not at hand\rarely / never at hand,pen,5
68,P12_C_276_915_1669_1010,P12,Copyshop,insert,pen,5
69,P12_C_281_1019_582_1111,P12,Copyshop,no usage / no sense,tissue,6
70,P01_C_134_204_1716_292,P01,Copyshop,drag through,phone,1
71,P01_C_134_204_1716_292,P01,Copyshop,cable,phone,1
72,P01_C_134_204_1716_292,P01,Copyshop,hold to,phone,1
73,P01_C_134_204_1716_292,P01,Copyshop,at hand,phone,1
74,P01_C_153_311_2102_357,P01,Copyshop,hold to,card,4
75,P01_C_153_311_2102_357,P01,Copyshop,no additional device,card,4
76,P01_C_153_311_2102_357,P01,Copyshop,insert,card,4
77,P01_C_153_380_2199_454,P01,Copyshop,turn,key,5
78,P01_C_153_380_2199_454,P01,Copyshop,insert,key,5
79,P01_C_153_380_2199_454,P01,Copyshop,original use,key,5
80,P01_C_153_380_2199_454,P01,Copyshop,at hand,key,5
81,P01_C_155_470_2212_554,P01,Copyshop,original use,pen,3
82,P01_C_155_470_2212_554,P01,Copyshop,multifunctional,pen,3
83,P01_C_155_470_2212_554,P01,Copyshop,tab on object\button,pen,3
84,P01_C_155_470_2212_554,P01,Copyshop,pointing,pen,3
85,P01_C_157_580_2226_647,P01,Copyshop,swipe,watch,2
86,P01_C_157_580_2226_647,P01,Copyshop,no additional device,watch,2
87,P01_C_151_662_2231_748,P01,Copyshop,breakable / unstable,tissue,6
88,P01_C_151_662_2231_748,P01,Copyshop,place on,tissue,6
89,P01_C_151_662_2231_748,P01,Copyshop,imprint,tissue,6
90,P01_C_151_662_2231_748,P01,Copyshop,disposable,tissue,6
91,P01_C_151_662_2231_748,P01,Copyshop,unfolded,tissue,6
92,P13_C_335_664_1729_781,P13,Copyshop,comfortable,phone,1
93,P13_C_335_664_1729_781,P13,Copyshop,simple,phone,1
94,P13_C_335_664_1729_781,P13,Copyshop,wireless connection,phone,1
95,P13_C_332_790_1709_903,P13,Copyshop,insert,key,3
96,P13_C_333_915_2001_1006,P13,Copyshop,multifunctional,card,2
97,P13_C_333_915_2001_1006,P13,Copyshop,place on,card,2
98,P13_C_333_915_2001_1006,P13,Copyshop,original use,card,2
99,P13_C_333_1018_1997_1112,P13,Copyshop,place on,watch,3
100,P13_C_333_1018_1997_1112,P13,Copyshop,scan,watch,3
101,P13_C_337_1128_1999_1225,P13,Copyshop,wipe,pen,5
102,P13_C_339_1239_2106_1366,P13,Copyshop,insert,tissue,6
103,P13_C_339_1239_2106_1366,P13,Copyshop,take back,tissue,6
104,P13_C_339_1239_2106_1366,P13,Copyshop,grab,tissue,6
105,P13_C_339_1239_2106_1366,P13,Copyshop,wipe,tissue,6
106,P14_C_327_428_1279_533,P14,Copyshop,wireless connection\cloud,phone,1
107,P14_C_330_546_1777_647,P14,Copyshop,already functional,key,2
108,P14_C_330_546_1777_647,P14,Copyshop,insert,key,2
109,P14_C_332_655_1787_741,P14,Copyshop,additional device needed,card,4
110,P14_C_332_655_1787_741,P14,Copyshop,drag through,card,4
111,P14_C_334_751_1789_834,P14,Copyshop,already functional,watch,3
112,P14_C_334_751_1789_834,P14,Copyshop,smart,watch,3
113,P14_C_334_751_1789_834,P14,Copyshop,place on,watch,3
114,P14_C_336_846_1787_933,P14,Copyshop,touch,pen,5
115,P14_C_336_846_1787_933,P14,Copyshop,pointing,pen,5
116,P14_C_338_955_1851_1053,P14,Copyshop,nontechnical / non-technological,tissue,6
